LOC,CC,PC,label
3.0,1.0,0.0,2
17.0,3.0,0.0,1
9.0,3.0,0.0,1
3.0,1.0,0.0,1
17.0,2.0,2.0,2
20.0,3.0,5.0,2
28.0,6.0,3.0,2
3.0,1.0,0.0,2
48.0,10.0,0.0,1
56.0,9.0,1.0,1
3.0,1.0,0.0,2
53.0,15.0,2.0,1
37.0,11.0,0.0,1
7.0,2.0,0.0,1
16.0,3.0,0.0,1
34.0,7.0,1.0,1
25.0,2.0,1.0,2
3.0,1.0,1.0,2
68.0,21.0,5.0,1
18.0,4.0,3.0,1
25.0,1.0,0.0,1
6.0,1.0,0.0,1
11.0,1.0,0.0,2
39.0,9.0,1.0,1
19.0,6.0,3.0,1
3.0,1.0,0.0,1
17.0,1.0,1.0,2
15.0,1.0,0.0,1
11.0,2.0,2.0,1
6.0,1.0,2.0,2
11.0,1.0,7.0,2
4.0,1.0,0.0,2
7.0,1.0,2.0,1
23.0,5.0,0.0,2
20.0,3.0,0.0,1
46.0,8.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,1.0,1
3.0,1.0,1.0,1
22.0,2.0,0.0,1
4.0,1.0,1.0,1
26.0,8.0,1.0,1
4.0,2.0,1.0,2
3.0,1.0,1.0,1
53.0,13.0,2.0,1
3.0,1.0,0.0,2
6.0,2.0,1.0,2
28.0,3.0,3.0,1
3.0,1.0,0.0,2
18.0,5.0,1.0,1
5.0,2.0,0.0,1
44.0,6.0,2.0,2
6.0,1.0,0.0,1
5.0,1.0,0.0,2
27.0,8.0,2.0,1
5.0,1.0,1.0,2
22.0,5.0,3.0,2
3.0,1.0,0.0,1
3.0,1.0,0.0,2
34.0,8.0,1.0,1
6.0,2.0,0.0,1
8.0,1.0,0.0,2
7.0,2.0,2.0,2
83.0,14.0,2.0,1
3.0,1.0,1.0,2
13.0,4.0,3.0,1
21.0,5.0,1.0,1
3.0,1.0,0.0,1
3.0,1.0,0.0,1
3.0,1.0,0.0,1
38.0,7.0,0.0,1
7.0,2.0,0.0,1
3.0,1.0,1.0,2
39.0,7.0,1.0,2
7.0,2.0,1.0,2
12.0,2.0,2.0,1
36.0,5.0,4.0,1
47.0,5.0,2.0,1
19.0,2.0,0.0,1
12.0,5.0,0.0,1
28.0,7.0,1.0,1
26.0,7.0,3.0,2
15.0,4.0,4.0,2
21.0,3.0,1.0,1
13.0,2.0,1.0,2
3.0,1.0,1.0,2
15.0,6.0,0.0,1
10.0,2.0,0.0,1
3.0,1.0,1.0,2
4.0,2.0,1.0,1
