NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
3.0,2.0,2.0,2.0,42.0,4.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,6.0,5.0,62.0,7.0,0.0,2.0,-1.0,1.0,2.0,2
2.0,0.0,4.0,4.0,93.0,10.0,0.0,1.0,1.0,2.0,1.0,2
3.0,0.0,14.0,12.0,152.0,24.0,0.0,1.0,0.21428571428571427,9.0,4.0,2
2.0,0.0,3.0,3.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,12.0,2.0,0.0,0.0,-1.0,2.0,0.0,2
0.0,0.0,2.0,2.0,12.0,3.0,0.0,1.0,-1.0,0.0,1.0,1
11.0,0.0,20.0,13.0,399.0,61.0,0.0,0.0,0.15,0.0,6.0,1
0.0,0.0,4.0,4.0,22.0,4.0,3.0,0.0,-1.0,2.0,0.0,2
0.0,0.0,23.0,21.0,98.0,29.0,0.0,0.0,-1.0,0.0,1.0,2
20.0,0.0,17.0,13.0,364.0,46.0,0.0,2.0,0.29411764705882354,1.0,9.0,2
0.0,0.0,4.0,3.0,55.0,6.0,1.0,0.0,-1.0,2.0,1.0,2
41.0,0.0,33.0,27.0,401.0,56.0,0.0,0.0,0.0,3.0,8.0,2
0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,-1.0,0.0,0.0,1
0.0,0.0,2.0,2.0,8.0,2.0,0.0,2.0,-1.0,0.0,1.0,1
0.0,0.0,3.0,3.0,76.0,16.0,0.0,2.0,-1.0,0.0,3.0,1
2.0,0.0,4.0,4.0,59.0,13.0,0.0,0.0,0.5,0.0,5.0,1
0.0,0.0,4.0,4.0,81.0,17.0,0.0,1.0,-1.0,0.0,3.0,1
7.0,0.0,4.0,1.0,23.0,4.0,2.0,0.0,1.0,3.0,1.0,2
0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,-1.0,1.0,2.0,2
1.0,0.0,4.0,4.0,16.0,4.0,0.0,1.0,0.0,0.0,6.0,1
6.0,0.0,3.0,3.0,54.0,10.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,5.0,1.0,45.0,12.0,2.0,0.0,0.6,1.0,6.0,2
0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,-1.0,0.0,0.0,2
4.0,0.0,6.0,2.0,47.0,7.0,0.0,0.0,0.5,1.0,2.0,2
1.0,0.0,21.0,20.0,207.0,37.0,0.0,3.0,0.6190476190476191,2.0,14.0,1
1.0,1.0,3.0,3.0,18.0,4.0,0.0,0.0,0.6666666666666666,0.0,1.0,1
2.0,0.0,8.0,7.0,56.0,8.0,0.0,0.0,0.375,2.0,7.0,2
0.0,0.0,2.0,2.0,8.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
