NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
4.0,0.0,4.0,2.0,43.0,5.0,0.0,0.0,1.0,0.0,6.0,1
4.0,0.0,9.0,9.0,96.0,11.0,0.0,1.0,0.0,17.0,1.0,1
3.0,0.0,2.0,2.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,3.0,3.0,21.0,5.0,0.0,0.0,0.0,1.0,1.0,2
0.0,0.0,2.0,2.0,14.0,2.0,0.0,0.0,-1.0,0.0,2.0,1
4.0,0.0,9.0,8.0,74.0,13.0,1.0,0.0,0.6666666666666666,0.0,0.0,1
7.0,0.0,10.0,9.0,62.0,15.0,0.0,2.0,0.6,1.0,4.0,2
17.0,0.0,10.0,8.0,141.0,20.0,0.0,0.0,0.3,1.0,14.0,2
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,22.0,3.0,0.0,0.0,-1.0,0.0,1.0,2
1.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,1
0.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,-1.0,1.0,0.0,2
2.0,0.0,6.0,6.0,118.0,16.0,0.0,0.0,0.8333333333333334,0.0,6.0,2
4.0,0.0,5.0,5.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,9.0,9.0,78.0,9.0,6.0,0.0,0.7777777777777778,3.0,1.0,2
0.0,0.0,1.0,1.0,19.0,1.0,9.0,0.0,-1.0,1.0,1.0,2
2.0,0.0,5.0,4.0,108.0,17.0,0.0,0.0,0.0,0.0,2.0,1
2.0,0.0,3.0,3.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,3.0,3.0,14.0,3.0,0.0,0.0,-1.0,9.0,3.0,2
2.0,0.0,3.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.0,14.0,14.0,68.0,16.0,0.0,1.0,0.21428571428571427,0.0,5.0,1
0.0,0.0,9.0,9.0,65.0,9.0,0.0,0.0,-1.0,0.0,0.0,2
0.0,0.0,6.0,6.0,54.0,11.0,0.0,1.0,-1.0,1.0,1.0,2
0.0,0.0,17.0,17.0,19.0,17.0,1.0,0.0,-1.0,0.0,0.0,1
2.0,0.0,3.0,3.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,1
2.0,0.0,4.0,3.0,23.0,5.0,0.0,0.0,0.75,0.0,0.0,2
3.0,3.0,4.0,3.0,52.0,7.0,0.0,0.0,0.0,1.0,7.0,1
0.0,0.0,4.0,4.0,30.0,4.0,0.0,0.0,-1.0,3.0,1.0,2
5.0,0.0,7.0,6.0,36.0,8.0,0.0,0.0,0.42857142857142855,0.0,3.0,1
